Site,Plot,Area Sampled (m2),Species,BD_cm,Stem Bio (g dry wt),Branch Bio (g dry wt),New Growth Bio (g dry wt),Tot Bio CALC ALLOM (g dry wt),Tot Bio SUM COMP (g dry wt),Stem Bio (g C m-2),Branch Bio (g C m-2),New Growth Bio (g C m-2),Tot Bio CALC ALLOM (g C m-2),Tot Bio SUM COMP (g C m-2)
HBR,1,20,Betula,0.35,1.47,0.08,0.35,1.24,1.90,0.03,0.00,0.01,0.03,0.04
HBR,1,20,Betula,0.51,3.57,0.37,0.88,3.80,4.82,0.08,0.01,0.02,0.09,0.11
HBR,1,20,Betula,0.25,0.66,0.02,0.15,0.46,0.84,0.02,0.00,0.00,0.01,0.02
HBR,1,20,Betula,0.52,3.73,0.40,0.92,4.03,5.06,0.09,0.01,0.02,0.09,0.12
HBR,1,20,Betula,0.66,6.55,1.06,1.65,8.18,9.26,0.15,0.02,0.04,0.19,0.22
HBR,1,20,Betula,0.1,0.08,0.00,0.02,0.03,0.09,0.00,0.00,0.00,0.00,0.00
HBR,1,20,Betula,0.28,0.87,0.03,0.20,0.64,1.10,0.02,0.00,0.00,0.02,0.03
HBR,1,20,Betula,0.38,1.78,0.11,0.43,1.59,2.32,0.04,0.00,0.01,0.04,0.05
HBR,1,20,Betula,0.37,1.67,0.10,0.40,1.47,2.17,0.04,0.00,0.01,0.03,0.05
HBR,1,20,Betula,1.2,26.86,12.01,7.14,48.29,46.02,0.63,0.28,0.17,1.13,1.08
HBR,1,20,Betula,0.19,0.35,0.01,0.08,0.20,0.43,0.01,0.00,0.00,0.00,0.01
HBR,1,20,Betula,0.35,1.47,0.08,0.35,1.24,1.90,0.03,0.00,0.01,0.03,0.04
HBR,1,20,Betula,0.39,1.89,0.13,0.46,1.71,2.47,0.04,0.00,0.01,0.04,0.06
HBR,1,20,Betula,1.13,23.31,9.41,6.17,40.40,38.89,0.55,0.22,0.14,0.95,0.91
HBR,1,20,Betula,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HBR,1,20,Betula,0.32,1.19,0.06,0.28,0.95,1.52,0.03,0.00,0.01,0.02,0.04
