Site,Trans,Plot_wdth,Plot_area,BD,DBH,Mass,Mass-C,
T-1Y4,1,4,80,NA,11.9,25724,12173,
T-1Y4,1,4,80,3.0,NA,498,236,
T-1Y4,1,4,80,1.3,NA,85,40,
T-1Y4,1,4,80,2.3,NA,275,130,
T-1Y4,2,4,80,1.5,NA,121,57,
T-1Y4,2,4,80,NA,30.2,170761,80822,
T-1Y4,3,4,80,1.5,NA,121,57,
T-1Y4,3,4,80,1.3,NA,85,40,
T-1Y4,3,4,80,1.3,NA,85,40,
T-1Y4,3,4,80,1.0,NA,55,26,
T-1Y4,3,4,80,1.8,NA,165,78,
T-1Y4,3,4,80,1.8,NA,165,78,
T-1Y4,3,4,80,0.8,NA,32,15,
T-1Y4,3,4,80,1.8,NA,165,78,
T-1Y4,3,4,80,1.3,NA,85,40,
T-1Y4,3,4,80,1.0,NA,55,26,
T-1Y4,3,4,80,0.3,NA,5,2,
T-1Y4,3,4,80,0.5,NA,15,7,
T-1Y4,3,4,80,1.0,NA,55,26,
T-1Y4,3,4,80,0.8,NA,32,15,
T-1Y4,3,4,80,0.8,NA,32,15,
T-2Y4,1,4,80,1.3,NA,95,45,
T-2Y4,1,4,80,NA,10.3,19212,9091,
T-2Y4,1,4,80,NA,2.1,807,381,
T-2Y4,2,4,80,NA,18.5,62941,29789,
T-2Y4,2,4,80,NA,7.2,9338,4418,
T-2Y4,2,4,80,NA,18.3,61566,29138,
T-2Y4,3,4,80,2.3,NA,275,130,
T-2Y4,3,4,80,0.8,NA,32,15,
T-2Y4,3,4,80,NA,28.5,151725,71812,
T-3Y4,1,4,80,NA,13.6,33709,15953,
T-3Y4,1,4,80,NA,13.1,31246,14787,
T-3Y4,1,4,80,NA,14.1,36268,17164,
T-3Y4,2,4,80,NA,12.6,28878,13666,
T-3Y4,2,4,80,NA,6.9,8572,4055,
T-3Y4,2,4,80,NA,10.5,19973,9451,
T-3Y4,2,4,80,NA,13.2,31731,15016,
T-3Y4,2,4,80,NA,4.4,3484,1647,
T-3Y4,2,4,80,NA,5.4,5244,2480,
T-3Y4,2,4,80,NA,3.3,1967,930,
T-3Y4,2,4,80,NA,10.5,19973,9451,
T-3Y4,2,4,80,NA,9.2,15296,7237,
T-3Y4,2,4,80,NA,13.4,32712,15481,
T-3Y4,3,4,80,NA,9.4,15974,7558,
T-3Y4,3,4,80,NA,1.2,272,128,
T-3Y4,3,4,80,NA,11.3,23168,10963,
T-3Y4,3,4,80,NA,12.5,28416,13447,
T-3Y4,3,4,80,NA,13.1,31246,14787,
T-3Y4,3,4,80,NA,7.0,8824,4174,
T-4Y4,1,4,80,2.5,NA,330,156,
T-4Y4,2,4,80,NA,NA,0,0,
T-4Y4,3,4,80,NA,4.5,3644,1723,
T-4Y4,3,4,80,1.1,NA,64,30,
T-4Y4,3,4,80,NA,2.2,884,418,
T-4Y4,3,4,80,1.2,NA,76,36,
T-4Y4,3,4,80,1.6,NA,134,63,
T-4Y4,3,4,80,NA,8.7,13666,6466,
T-4Y4,3,4,80,NA,1.8,597,282,
T-4Y4,3,4,80,NA,2.4,1049,496,
T-4Y4,3,4,80,NA,1.9,663,313,
T-4Y4,3,4,80,NA,3.2,1850,875,
T-4Y4,3,4,80,NA,5.1,4678,2212,
T-4Y4,3,4,80,NA,1.2,272,128,
T-4Y4,3,4,80,2.1,NA,231,109,
T-4Y4,3,4,80,1.5,NA,118,55,
T-4Y4,3,4,80,NA,1.6,475,224,
T-4Y4,3,4,80,NA,3.7,2468,1167,
T-4Y4,3,4,80,NA,1.1,230,108,
T-4Y4,3,4,80,NA,3.9,2740,1296,
T-5Y4,1,4,80,NA,21.6,86252,40823,
T-5Y4,1,4,80,NA,16.6,50505,23903,
T-5Y4,1,4,80,NA,9.1,14962,7080,
T-5Y4,1,4,80,NA,16.5,49889,23611,
T-5Y4,1,4,80,NA,9.2,15296,7237,
T-5Y4,1,4,80,NA,16.3,48669,23034,
T-5Y4,1,4,80,NA,18.4,62252,29463,
T-5Y4,1,4,80,NA,17.9,58862,27858,
T-5Y4,1,4,80,NA,9.2,15296,7237,
T-5Y4,2,4,80,NA,16.1,47465,22464,
T-5Y4,2,4,80,NA,5.6,5640,2668,
T-5Y4,2,4,80,NA,11.3,23168,10963,
T-5Y4,2,4,80,NA,2.5,1137,537,
T-5Y4,2,4,80,NA,15.0,41116,19459,
T-5Y4,3,4,80,NA,6.4,7371,3487,
T-5Y4,3,4,80,NA,12.5,28416,13447,
T-5Y4,3,4,80,NA,18.4,62252,29463,
T-5Y4,3,4,80,NA,8.2,12130,5739,
T-5Y4,3,4,80,NA,10.5,19973,9451,
T-5Y4,3,4,80,NA,14.8,40012,18936,
T-6Y4,1,4,80,NA,10.5,19973,9451,
T-6Y4,1,4,80,NA,9.6,16667,7886,
T-6Y4,1,4,80,NA,19.9,73003,34552,
T-6Y4,1,4,80,NA,11.2,22755,10768,
T-6Y4,1,4,80,NA,7.8,10968,5189,
T-6Y4,2,4,80,NA,13.1,31246,14787,
T-6Y4,2,4,80,NA,18.1,60206,28495,
T-6Y4,2,4,80,NA,5.3,5052,2389,
T-6Y4,3,4,80,NA,10.0,18099,8564,
T-6Y4,3,4,80,NA,23.4,101517,48048,
T-6Y4,3,4,80,NA,20.5,77550,36704,
T-6Y4,3,4,80,NA,16.4,49277,23321,
T-6Y4,3,4,80,NA,24.3,109628,51887,
T-6Y4,3,4,80,NA,14.4,37849,17912,
T-6Y4,3,4,80,NA,15.8,45687,21622,
T-7Y4,1,4,80,2.1,NA,231,109,
T-7Y4,1,4,80,1.4,NA,103,48,
T-7Y4,1,4,80,1.5,NA,118,55,
T-7Y4,1,4,80,NA,18.9,65738,31113,
T-7Y4,1,4,80,0.8,NA,35,16,
T-7Y4,1,4,80,2.1,NA,231,109,
T-7Y4,2,4,80,1.0,NA,53,25,
T-7Y4,2,4,80,NA,13.3,32220,15248,
T-7Y4,3,4,80,2.3,NA,278,131,
T-7Y4,3,4,80,2.9,NA,449,212,
T-7Y4,3,4,80,NA,13.6,33709,15953,
T-8Y4,1,4,80,13.0,NA,12020,5694,
T-8Y4,2,4,80,2.9,NA,449,212,
T-8Y4,2,4,80,NA,15.9,46276,21901,
T-8Y4,3,4,80,NA,25.4,119977,56786,
T-8Y4,3,4,80,NA,18.1,60206,28495,
T-9Y4,1,4,80,NA,11.1,22346,10575,
T-9Y4,2,4,80,NA,0.0,0,0,
T-9Y4,3,4,80,NA,14.7,39465,18677,
T-10Y4,1,4,80,NA,0.0,0,0,
T-10Y4,2,4,80,NA,9.3,15633,7397,
T-10Y4,2,4,80,NA,6.2,6916,3272,
T-10Y4,2,4,80,NA,10.6,20359,9634,
T-10Y4,2,4,80,NA,6.8,8325,3938,
T-10Y4,2,4,80,NA,12.7,29344,13887,
T-10Y4,2,4,80,NA,12.3,27503,13015,
T-10Y4,2,4,80,NA,4.7,3974,1879,
T-10Y4,2,4,80,NA,16.8,51748,24491,
T-10Y4,2,4,80,NA,13.1,31246,14787,
T-10Y4,2,4,80,NA,13.2,31731,15016,
T-10Y4,2,4,80,NA,6.2,6916,3272,
T-10Y4,2,4,80,NA,4.3,3328,1574,
T-10Y4,3,4,80,NA,9.7,17019,8053,
T-10Y4,3,4,80,NA,5.4,5244,2480,
T-10Y4,3,4,80,NA,10.8,21143,10005,
T-10Y4,3,4,80,NA,8.4,12733,6025,
T-10Y4,3,4,80,NA,17.3,54924,25994,
T-10Y4,3,4,80,NA,5.6,5640,2668,
T-11Y4,1,4,80,NA,0.0,0,0,
T-11Y4,2,4,80,NA,11.6,24429,11560,
T-11Y4,2,4,80,12.1,NA,10208,4836,
T-11Y4,2,4,80,NA,19.7,71519,33849,
T-11Y4,3,4,80,NA,7.1,9079,4295,
T-12Y4,1,4,80,NA,0.0,0,0,
T-12Y4,2,4,80,2.8,NA,415,196,
T-12Y4,2,4,80,6.1,NA,2205,1044,
T-12Y4,2,4,80,2.8,NA,415,196,
T-12Y4,3,4,80,NA,0.0,0,0,
T-13Y4,1,4,80,NA,8.0,11542,5461,
T-13Y4,1,4,80,NA,8.2,12130,5739,
T-13Y4,1,4,80,NA,13.3,32220,15248,
T-13Y4,1,4,80,NA,13.9,35233,16674,
T-13Y4,1,4,80,NA,13.7,34213,16191,
T-13Y4,1,4,80,NA,10.7,20749,9818,
T-13Y4,1,4,80,1.0,NA,50,23,
T-13Y4,2,4,80,NA,5.5,5440,2573,
T-13Y4,2,4,80,NA,11.6,24429,11560,
T-13Y4,2,4,80,NA,5.4,5244,2480,
T-13Y4,2,4,80,NA,8.4,12733,6025,
T-13Y4,2,4,80,NA,11.6,24429,11560,
T-13Y4,2,4,80,NA,5.1,4678,2212,
T-13Y4,3,4,80,NA,10.2,18837,8913,
T-13Y4,3,4,80,NA,19.6,70783,33501,
T-13Y4,3,4,80,NA,4.5,3644,1723,
T-13Y4,3,4,80,NA,14.4,37849,17912,
T-14Y4,1,4,80,2.3,NA,275,130,
T-14Y4,1,4,80,1.5,NA,121,57,
T-14Y4,1,4,80,4.3,NA,1043,494,
T-14Y4,1,4,80,1.5,NA,121,57,
T-14Y4,1,4,80,3.8,NA,798,378,
T-14Y4,2,4,80,1.8,NA,165,78,
T-14Y4,2,4,80,1.8,NA,165,78,
T-14Y4,3,4,80,0.6,NA,23,11,
T-15Y4,1,4,80,NA,16.5,49889,23611,
T-15Y4,2,4,80,NA,11.0,21941,10383,
T-15Y4,2,4,80,2.1,NA,221,104,
T-15Y4,2,4,80,1.9,NA,189,89,
T-15Y4,3,4,80,NA,0.0,0,0,
T-16Y4,1,4,80,NA,26.6,131814,62388,
T-16Y4,1,4,80,1.5,NA,121,57,
T-16Y4,1,4,80,NA,11.7,24857,11763,
T-16Y4,1,4,80,NA,23.5,102403,48467,
T-16Y4,2,4,80,NA,14.9,40562,19196,
T-16Y4,2,4,80,NA,24.2,108711,51453,
T-16Y4,2,4,80,NA,3.9,2740,1296,
T-16Y4,2,4,80,NA,5.4,5244,2480,
T-16Y4,2,4,80,NA,4.9,4319,2042,
T-16Y4,2,4,80,NA,20.5,77550,36704,
