Site ,Description,Year,Type,Lat,Long,Age,Canopy cover (%)-Densiometry,SE,LAI (Hemispherical photography),SE,LAI 2000,Larch Biomass (g C m-2),SE,Larch Density (trees m-2),SE,Sg Biomass (g C m-2),SE,Sg Density (sgs m-2),SE
AKB,"Akhmelo borehole, sparse larch forest",2013,TS,68.81193833,160.9852967,,38.97111111,6.726227365,,,,787.5606841,273.3992904,0.116666667,0.037034143,0,0,0,0
AMB,Ambolikha borehole,2012,TS,68.63849,161.389233,,0,0,,,,0,0,0,0,0,0,0,0
Dav,Davydov - high density,,DG,68.75556,161.45570,53.00,71.24,1.672314874,,,,1370.131954,207.7218165,3.7,0.518652099,22.658982,18.39512214,,
DYB,Duvannyi Yar borehole,2012,TS,68.6331938,159.079018,,19.032,3.04926645,,,,699.45353,236.296699,0.15,0.04330127,495.990068,262.516571,0.04166667,0.01666667
EXB,Experimental burn,2012,EXB,68.74333,161.40688,,,,,,,,,,,,,,
HBR,High biomass Rodinka,2012,DG,68.75055,161.47281,56.00,93.8053333,1.4631453,,,,2135.743333,145.6737371,1.775,0.2384848,48.6997319,21.0225339,0.525,0.13768926
HDF1,high density 1,,DG,68.747261,161.48175,56.00,54.31111111,6.430747129,,,,2211.10286,347.9532924,1.077777778,0.151025302,15.77405941,6.493528023,,
HDF2,high density 2,,DG,68.74725,161.4904,54.00,,,,,,1511.276928,124.1286617,0.783333333,0.097657755,40.09069191,20.58922784,,
HDR,High density Rodinka,2012,DG,68.75606,161.44852,55.00,63.726,1.82764022,,,,1510.61,137.5817976,2.76666667,0.88521811,8.1700496,4.83639692,0.23333333,0.12275767
HDS1,high density slope 1,,DG,68.75484,161.45808,58.00,59.45333333,3.985096309,,,,1910.169019,146.0644075,3.333333333,0.380910216,59.29921004,11.16178055,,
HDS2,high density slope 2,,DG,68.74948,161.46992,56.00,75.42888889,3.628403043,,,,2177.170739,169.3110442,1.583333333,0.069388867,67.52191569,16.40600089,,
LBR,Low biomass Rodinka,2012,DG,68.7431,161.49712,,15.444,2.02936462,,,,139.2333333,42.49707493,0.11666667,0.05605677,111.373723,110.863713,0.025,0.0125
LDF1,Low density 1,,DG,68.74236,161.48436,49.00,,,,,,191.9059289,128.626026,0.052777778,0.032749517,101.0979755,98.60929281,,
LDF2,Low density 2,,DG,68.73784,161.50539,48.00,13.66444444,2.166281447,,,,206.7451385,77.6092204,0.097222222,0.014698618,2.646771634,2.364306219,,
LDF3,low density 3,,DG,68.74297,161.50568,42.00,10.92,6.868754807,,,,141.9204817,33.95423344,0.038888889,0.005555556,0,0,,
LDR,Low density Rodinka,2012,DG,68.75591,161.44672,,4.57166667,1.07386364,,,,382.8333333,379.0596158,0.05,0.03145764,0,0,0.0125,0
LDS1,low density slope 1,,DG,68.74464,161.48463,72.00,43.36222222,5.614932912,,,,1018.29579,214.4745147,0.4625,0.039747467,459.6232316,278.6052601,,
